"Name","main","experiment","model","test/davidson_accuracy","test/davidson_f1-score","test/davidson_precision","test/davidson_recall","test/garcia_accuracy","test/garcia_f1-score","test/garcia_precision","test/garcia_recall","test/waseem_accuracy","test/waseem_f1-score","test/waseem_hovy_accuracy","test/waseem_hovy_f1-score","test/waseem_hovy_precision","test/waseem_hovy_recall","test/waseem_precision","test/waseem_recall","test/wulczyn_accuracy","test/wulczyn_f1-score","test/wulczyn_precision","test/wulczyn_recall"
"skilled-sweep-1","garcia","word","cnn","0.5038321903993546","0.45770475172834746","0.5544359856440745","0.5306637579759705","0.6506276150627615","0.650552673627071","0.6506276150627615","0.6507569386038687","0.6921965317919075","0.5000525739172317","0.6122931442080378","0.5187404502702975","0.5210658255860451","0.5251661918328585","0.5048566179407301","0.5036356678147723","0.6134124144856586","0.4706421491016479","0.5590365724506173","0.5215675679931465"
"brisk-sweep-5","garcia","word","lstm","0.780960064542154","0.4931896143737032","0.5019701019010204","0.5038214261544361","0.497907949790795","0.3324022346368715","0.497907949790795","0.24947589098532497","0.6994219653179191","0.5392573623559539","0.648936170212766","0.5686422622838808","0.5671014997807902","0.5780867179601227","0.5587666746545251","0.5403543415062256","0.0969999372371807","0.08900621633755527","0.4992791442137815","0.4683977103088508"
"sweet-sweep-4","garcia","word","lstm","0.46308995562726907","0.4313127526587609","0.5471632393406323","0.5273930917275275","0.6861924686192469","0.6845967060810811","0.6861924686192469","0.6900384168676852","0.5563583815028902","0.44587005683611425","0.5768321513002365","0.5420991280972806","0.5488805844311223","0.5441254285693575","0.47415129003914047","0.4859078874024526","0.5113914517040106","0.4104807359960343","0.5109922822732731","0.5038047360225685"
"dainty-sweep-3","garcia","word","lstm","0.5679709560306575","0.4328528940745824","0.4361153172515334","0.460372715704182","0.497907949790795","0.4698314108251997","0.497907949790795","0.49734568312565247","0.661849710982659","0.5264764712074955","0.4846335697399527","0.437032967032967","0.436540756169593","0.44195273721367856","0.5594536304816679","0.5362878455462923","0.0969999372371807","0.08900621633755527","0.4992791442137815","0.4683977103088508"
"lilac-sweep-2","garcia","word","lstm","0.5599031867688584","0.48226046696291097","0.5412697969655313","0.5233852228799027","0.5690376569037657","0.5686676478833754","0.5690376569037656","0.5692753623188406","0.5101156069364162","0.4317357654155009","0.5301418439716312","0.4978615608422058","0.5042765994690785","0.5038024388154325","0.4849828261043214","0.49212677566336105","0.5051465511830792","0.40096764902541193","0.4852424365130499","0.494890508736371"
"pleasant-sweep-1","garcia","word","lstm","0.41952400161355385","0.3944960684384507","0.5085398218767372","0.5051173655916227","0.696652719665272","0.6963537034684284","0.696652719665272","0.6974303993250843","0.634393063583815","0.4955963064866967","0.58451536643026","0.5336088736476051","0.5349354655840537","0.5334060196560196","0.5203051361929867","0.5121813302664366","0.6101173664721019","0.460035286648908","0.5311036668901709","0.5114535849389962"
"wise-sweep-5","garcia","word","mlp","0.2263009277934651","0.21841556750785737","0.5234388628767209","0.5519101193051864","0.5606694560669456","0.4651534526854219","0.5606694560669456","0.712385855242998","0.6950867052023122","0.492828982788864","0.6625295508274232","0.5669198897813783","0.5668068110828646","0.5874655184013995","0.4951114306254493","0.49619932432432434","0.9046005146551184","0.4785388547675279","0.5017524111406749","0.8451835273855869"
"misty-sweep-4","garcia","word","mlp","0.7079467527228721","0.5465396664982314","0.5575626792455464","0.5447773954013505","0.5418410041841004","0.43096166076874154","0.5418410041841004","0.6896825396825397","0.45809248554913296","0.40137717851416976","0.5254137115839244","0.5212920797050259","0.5654562214645787","0.5587464615774879","0.469486380701334","0.4839549731182795","0.0981610493943388","0.0905138678421926","0.4980141116417288","0.45638296276292495"
"cerulean-sweep-3","garcia","word","mlp","0.19483662767244855","0.17967688969527207","0.5093079755400335","0.5417022717799083","0.5230125523012552","0.3887879399690423","0.5230125523012552","0.6892728581713463","0.708092485549133","0.5038334847796456","0.6713947990543735","0.5718031067706627","0.5718534554056507","0.598422771917861","0.5066219346593178","0.5053352383158924","0.9046946588840772","0.47921494791126606","0.5020978453973702","0.8856896172804622"
"kind-sweep-2","garcia","word","mlp","0.2073416700282372","0.19556065363364947","0.513955276128273","0.5434207574343053","0.5523012552301255","0.4477270273188641","0.5523012552301255","0.7155950061340839","0.7326589595375722","0.4982264291453544","0.6784869976359338","0.5692722371967655","0.5711885991607395","0.6064291836631797","0.4982426711398674","0.49830665024630544","0.9046005146551184","0.47821523124017534","0.5016057194131183","0.8689803478370064"
